25091|2286|1.571|0.0|12.8731908775|46.20.246.218
20485|14|0.9025|0.236|14.7822073476|217.150.52.138,188.43.17.158
39435|81|22.244|8.407|3.34372709372|88.87.67.34,88.87.67.46
25100|212|1.773|0.008|11.8603255299|81.5.90.62
44050|4|8.893|7.799|0.779460871372|
21011|41|8.885|0.593|46.7995595659|88.81.245.85,77.88.211.9,88.81.247.21,77.88.205.33
197140|116|1.6805|0.005|7.51732946717|178.251.141.17
44053|276|2.464|0.002|67.2900580533|79.98.215.1,94.127.176.21,94.127.176.25
42518|120|10.106|0.583|27.1837891704|91.192.191.150
6679|1|2.101|2.101|0.0|
8732|235|2.062|0.003|8.0228884893|62.117.112.82,212.100.159.65,213.79.104.161,82.138.46.58
31261|13|0.896|0.063|4.56827509172|
8226|67|48.516|1.113|27.871551414|109.68.121.219
48166|298|1.113|0.097|40.4864027073|91.210.84.153,91.210.84.33
47655|18|1.3635|0.021|2.55216211473|
6697|24|22.8225|0.389|16.0374965315|93.85.80.66,93.85.80.98
29226|161|0.642|0.011|13.9482941363|217.67.176.249,217.67.176.53
25133|26|33.1025|22.237|34.7343954584|195.95.233.1,193.0.240.40
8752|402|0.847|0.0|31.2139074709|46.38.100.33,212.46.13.101
8241|210|0.719|0.001|29.6137429866|195.146.65.65
56377|100|26.5285|18.51|1.3519904341|109.195.216.26,109.195.216.22,109.195.216.30,109.195.216.18
8764|57|30.47|18.294|14.6702923401|82.135.187.68,82.135.182.2,82.135.180.2
24638|16|0.9335|0.433|12.5823425416|81.19.64.82
30784|191|1.235|0.045|19.9817916543|82.199.119.21
41554|27|1.583|0.584|10.3780801384|195.138.206.21
12883|70|10.4125|0.324|46.4778746307|62.221.41.209,93.178.232.153,78.111.215.209,62.221.41.241
197204|377|21.662|13.674|29.7542535235|46.29.8.1
28762|94|1.2865|0.283|5.99245945526|83.69.240.1
12389|2222|13.4775|0.008|49.2182834586|213.59.212.117,213.24.85.229,213.59.212.123
