8402|618|3.4675|0.01|24.7793506013|83.102.167.67
196819|391|0.889|0.002|6.93309917453|91.213.56.253
59605|19|2.835|0.692|4.96599999442|151.248.96.28
28889|172|13.458|11.033|33.1812100012|80.66.62.150
8422|1684|0.7545|0.000999999999998|44.8156453106|89.1.16.6,89.1.16.14,89.1.16.10,89.1.16.2
8426|305|0.426|0.002|4.72805823466|212.61.142.214,212.43.193.170,212.6.200.249
196844|1192|19.4545|1.992|67.1851543785|212.191.237.81,212.191.237.217,212.191.237.89,212.191.237.125,212.191.237.41,212.191.237.105,212.191.237.73,212.191.237.113,212.191.237.37,212.191.237.69
28917|1125|3.1245|0.002|13.459310699|93.191.9.153,80.77.167.205,93.191.9.155
251|15|4.113|0.396|2.03404195958|
8447|2250|0.759|0.001|200.772548725|195.3.64.2,195.3.64.149,195.3.64.6,195.3.65.81
12552|2527|1.331|0.0|38.065522977|213.80.87.31,213.80.87.33
39180|135|16.407|8.627|7.77675639964|188.93.41.190
198930|654|9.189|1.239|14.6173538287|91.106.135.51
8468|622|0.706|0.000999999999998|9.19485952802|188.39.127.187
8469|86|0.5875|0.038|4.76079368204|195.94.75.49
8473|1151|14.853|1.361|30.1995814748|46.59.112.133,46.59.112.107,46.59.117.214,85.24.151.232,85.24.151.154,46.59.112.191,85.24.151.40
51483|181|6.34|5.187|26.5521073527|95.142.79.170
20764|2140|3.8|0.0|30.5486987627|80.64.96.217,80.64.96.17,80.64.96.27,80.64.96.219
286|2345|0.87|0.0|12.028237817|134.222.48.160,134.222.48.163,134.222.48.158,134.222.227.129,134.222.230.181,134.222.227.77
12578|681|28.727|19.345|6.7879843352|195.122.0.149,195.122.0.158,87.110.252.242,195.13.166.53,195.122.0.214,195.13.224.197,195.122.0.174,80.232.146.1,195.122.0.166,195.13.208.101,195.122.0.122,195.13.166.213
20771|592|41.4085|4.225|13.3932651769|80.241.176.141,80.241.176.2
20773|2442|0.8415|0.000999999999998|33.2677478324|80.237.129.166,80.237.129.110,80.237.129.81,91.250.127.53,87.230.114.117,80.237.129.61,80.237.129.37
45352|129|189.156|184.461|128.834460221|103.3.172.226
41692|485|1.353|0.004|66.4407365196|194.54.95.253,194.54.95.189,194.54.95.133
12586|2229|0.699|0.0|24.8837339753|5.175.255.9,5.231.87.9,5.175.255.13,94.249.128.2
31019|151|8.974|6.634|49.9671193756|91.228.151.53
20783|358|7.8145|0.21|14.9432196313|212.79.49.140,212.79.48.8
201011|5523|1.422|0.0|36.9298926735|5.56.17.201,81.95.15.193,80.255.14.145,81.95.2.173,80.255.14.6,81.95.2.198,80.255.15.85,81.95.2.21
31029|1|41.737|41.737|0.0|82.103.123.182
196922|363|5.274|0.006|26.8118844604|46.232.184.129,46.232.184.25
12605|165|0.604|0.000999999999999|23.0360258502|212.33.35.102,212.33.35.108
8513|137|7.676|0.077|34.6941921258|217.194.158.77
31042|1845|13.216|0.095|30.5527432365|89.216.5.94,82.117.193.217,89.216.5.76
20804|348|0.308|0.000999999999998|6.24783026627|213.172.188.42,213.172.189.90
35141|614|27.4015|24.188|1.33449340058|77.70.113.1,77.70.102.1,46.238.9.1,78.90.82.1,77.70.15.65
20810|1|32.67|32.67|0.0|80.69.193.193
