20485|7289|70.137|7.261|21.3488614202|188.43.3.246,217.150.60.74,217.150.50.94,217.150.48.194,188.43.4.90,188.43.1.102,217.150.50.226,217.150.37.2,217.150.63.58,188.43.14.206,217.150.37.222,217.150.49.162,188.43.5.234,188.43.15.30,188.43.6.222,217.150.43.70,217.150.39.58,188.43.9.54,188.43.6.158,188.43.20.182,217.150.42.46,217.150.62.54,188.43.1.14,188.43.7.222,188.43.23.130,217.150.40.26,217.150.56.138,217.150.44.146,217.150.59.6,217.150.58.154,217.150.54.10,188.43.6.70,188.43.22.9,188.43.2.66,217.150.50.250,217.150.62.142,217.150.50.254,188.43.19.82,217.150.61.30,188.43.9.42,217.150.59.102,217.150.61.78,217.150.52.22,217.150.47.82,217.150.63.246,217.150.45.158,188.43.14.78,217.150.44.174,217.150.52.138,188.43.15.46,188.43.7.10,217.150.63.138,188.43.12.202,217.150.57.98,217.150.61.214,188.43.16.142,217.150.52.54,217.150.63.34,188.43.14.222,217.150.54.190,188.43.10.190,217.150.44.42,217.150.54.70,217.150.58.34,217.150.54.82,217.150.45.62,188.43.14.66,217.150.62.114,217.150.49.186,217.150.41.254,217.150.41.98,217.150.57.170,188.43.18.254,217.150.62.70,217.150.61.174,188.43.17.158,217.150.61.154,217.150.45.6,217.150.56.234,188.43.11.190,217.150.57.254,217.150.62.234,217.150.44.182,217.150.44.14,217.150.46.162,217.150.59.122,217.150.56.86,217.150.44.158,217.150.52.110,217.150.52.114,217.150.44.150
24586|327|0.958|0.046|20.5872576428|46.22.182.18,46.22.182.14
28685|1590|2.2545|0.0|71.8000077547|37.0.80.82,37.0.80.80
20495|28|2.955|0.047|5.5029855175|84.244.188.241
12306|74|5.982|2.454|34.3087989854|82.98.102.18,82.98.102.17
30740|5|7.125|6.8|2.59214536629|
12310|21|21.857|19.646|5.58673413486|80.86.97.210
20504|9|1.12|0.97|9.16141321111|217.118.161.1
8218|2209|15.788|0.066|45.3193310319|83.167.56.216,83.167.55.162,83.167.55.149,83.167.56.154
12315|191|0.999|0.005|27.5624279176|193.254.214.233
