29056|377|1.03|0.001|41.0998649066|91.143.111.49
3330|371|0.533|0.0|11.1950110724|194.112.206.182,194.112.206.150
24724|56|36.3045|2.825|6.32262512646|212.91.8.148,212.91.8.73,212.91.9.77,212.91.9.74
6663|331|16.166|0.274|9.30253990668|31.210.12.33,31.210.12.121,31.210.10.133,89.238.248.121,31.210.11.233,31.210.12.137,31.210.13.121,31.210.10.53
12989|2|11.259|9.13|2.129|
3209|1586|5.2775|0.038|12.0948064017|92.79.211.202,92.79.211.198
3212|475|1.861|0.0|3.52200038002|
8591|385|0.604|0.001|3.97647039866|
49808|345|3.234|0.038|4.2659233888|
8339|717|0.843|0.0|4.1605513447|195.202.134.246,195.202.162.221,195.202.134.238,195.202.134.241,195.202.135.2
8596|15|0.574|0.108|4.4518106279|
21013|2|179.358|176.244|3.114|85.31.8.192
31510|189|8.097|5.023|10.5527077004|83.175.64.50
28889|29|1.14|0.0|3.58315385079|
8501|127|0.478|0.164|21.5214695668|212.191.224.150
29081|95|0.629|0.001|37.9346640977|62.212.164.161
8218|1035|0.653|0.0|9.14469808006|212.69.163.193,83.167.56.155,83.167.55.51,212.69.191.145
5403|182|0.364|0.021|2.98410904085|194.158.150.62
43061|26|0.326|0.017|4.35024926448|
286|495|0.445|0.0|4.64038135424|134.222.48.58,134.222.48.65
9119|205|0.557|0.0|26.5744482686|212.103.130.6
34594|750|8.5485|6.422|3.71684212874|85.114.32.102,85.114.32.221,85.114.32.137
6939|998|1.44|0.0|33.1777534657|184.105.81.53,184.105.222.134,72.52.92.186,184.105.80.118,184.105.223.233,216.66.82.73
2852|8|2.968|0.756|0.961492906565|
12971|6|1.9025|1.132|0.488299429995|
25255|977|2.042|0.002|24.9275267679|213.94.72.37,213.94.72.8,91.141.7.254,213.94.72.5,213.94.72.46
43957|96|1.141|0.000999999999999|4.42893571908|79.170.215.213
15772|460|15.495|4.36|11.0112633175|217.20.161.41,217.20.161.29
9002|2431|0.715|0.000999999999998|9.40946694173|87.245.233.166,87.245.246.217,87.245.234.89,87.245.233.138
34347|209|0.41|0.000999999999999|16.6925634707|185.35.182.228,80.92.112.180
13101|12|12.678|12.13|1.60035398862|
6830|3463|1.386|0.0|16.3932923698|213.46.173.125,213.46.173.117,213.46.173.17,213.46.173.6
48943|301|0.806|0.001|48.8713361741|94.136.0.163
21385|89|0.293|0.003|3.35888404748|
12337|67|0.444|0.056|4.73062127719|
197999|75|4.936|1.471|5.08408725163|193.33.216.137
12605|320|1.269|0.0|17.2031998398|212.33.34.253
31543|47|8.207|5.672|31.4059150127|83.218.191.34,83.218.191.22
8245|30|1.281|0.013|5.88741223629|212.236.38.9
1853|4370|0.4805|0.0|5.95574321605|193.171.23.54,193.171.13.41,193.171.23.42,193.171.23.98,193.171.23.46
13237|252|0.362|0.002|4.82597198413|
6720|115|0.146|0.008|5.39410390116|217.149.227.1,217.149.227.17
8928|1001|0.836|0.002|136.002636202|212.23.43.25,195.21.26.73,212.23.43.49,84.233.183.86
31042|471|0.687|0.002|171.097975965|89.216.5.76
50629|157|6.757|0.454|16.8937547885|185.76.189.73,185.76.190.70,185.76.190.226
39878|61|0.464|0.004|27.8420619731|91.135.160.102
21320|1605|26.502|0.004|18.4738769019|83.97.88.25,83.97.88.241,83.97.88.69,83.97.88.101,83.97.88.5
13004|1|1.951|1.951|0.0|
6730|148|0.5735|0.007|10.0218082268|195.141.235.233,195.141.229.233
5580|1|29.62|29.62|0.0|78.152.45.223
31394|26|7.723|0.118|50.654139058|83.137.40.38
8220|2|21.6935|21.591|0.1025|80.169.211.241
8400|193|0.593|0.001|4.94837417794|212.200.5.105
57169|111|0.337|0.004|4.2613212888|37.235.59.69
16276|85|0.564|0.001|48.9200920355|213.251.128.86
34772|202|21.243|0.636|330.043826667|80.77.144.145,164.40.252.222,80.77.144.153,164.40.248.97,164.40.252.234
25431|32|18.154|15.873|4.82709583358|217.24.24.129
28760|136|0.067|0.001|2.85746227098|
48362|52|9.6865|9.315|2.2513527351|94.199.168.9
9009|172|1.835|0.002|17.5182304175|185.94.195.21,176.10.82.43,176.10.82.109
34779|2272|4.0325|0.0|15.6077283674|84.255.250.38,84.255.250.46
2914|328|2.055|0.000999999999998|21.4029134336|83.231.187.2,129.250.2.80
12767|16|5.449|2.8|5.42243160075|89.233.140.106
1120|392|0.248|0.0|16.3638068905|193.171.255.1,78.104.145.1
16265|2|0.2525|0.216|0.0365|
33890|141|0.45|0.0|3.78655665419|77.72.160.201
1764|1|0.69|0.69|0.0|
13030|895|0.495|0.004|26.1619693068|82.197.163.51,82.197.163.49,82.197.168.37
25447|186|1.6875|0.0|29.3123700761|85.13.5.65,217.199.82.225
39912|409|0.738|0.002|8.94445122019|95.143.85.205,95.143.85.193,95.143.85.209,95.143.81.73
42473|174|0.968|0.091|6.04802382174|37.252.236.143,37.252.241.143
6762|6|34.5905|12.426|16.4426033362|89.221.39.10,89.221.39.22,89.221.34.15
29287|78|0.9885|0.02|4.09807143929|
24940|19|10.211|2.6|5.46409769373|213.239.229.166,213.239.203.138,213.239.229.162
8559|40|3.442|0.373|3.41879521323|
51184|255|0.536|0.0|4.46929849823|91.206.9.65,91.206.9.53
20751|21|2.412|0.109|1.6986906015|
201011|423|0.456|0.0|16.0083679829|81.95.15.18,81.95.15.49
1257|382|0.768|0.003|11.116768744|130.244.74.245,130.244.74.255
3320|2312|2.1105|0.000999999999998|31.2188883828|62.154.5.169,217.239.51.70,217.239.51.66,62.154.5.165,217.239.51.74
